X,Y,OBJECTID,Stop,Place,Loca_latitude,Loca_longitude,Description,Street_dir_,Shelt_,Shelter_resp_,Bench,Trash_can,Route_Number,Route_Name
-83.1268600560016,42.3115090730028,1,765,VerSpg,42.3115090729511,-83.1268600561154,Vernor & Springwells,EB,0,,0,0,1,Vernor
-83.1079791330016,42.3156230290029,2,766,VerDrg,42.315623028687,-83.1079791334854,Vernor & Dragoon,EB,0,,0,1,1,Vernor
-83.0887579080016,42.3229610490029,3,767,VerWgb,42.3229610488315,-83.0887579075879,Vernor & W Grand Bl,EB,0,,0,0,1,Vernor
-83.0658431230016,42.3294231090029,4,770,BagTrm,42.3294231094196,-83.0658431233387,Bagley & Trumbull,WB,0,,0,0,1,Vernor
-83.1108108460016,42.3156450840028,5,772,VerLiv,42.3156450838977,-83.1108108459067,Vernor & Livernois,WB,0,,0,1,1,Vernor
-83.1526081520016,42.3110230020029,6,3994,,42.3110230021771,-83.1526081519709,Wyoming & Wren,SB,0,,0,0,1,Vernor
-83.1437758230016,42.3047729820029,7,7875,,42.3047729818722,-83.1437758228165,Vernor & Dale,WB,0,,0,0,1,Vernor
-83.1429989920016,42.3049270710029,8,7876,,42.304927071434,-83.1429989920735,Vernor & Riverside,EB,0,,0,0,1,Vernor
-83.1348631490016,42.3082590740029,9,7879,,42.3082590742558,-83.1348631485927,Vernor & Sharon,EB,0,,0,0,1,Vernor
-83.1355350330016,42.3081239350028,10,7880,,42.3081239347898,-83.1355350334968,Vernor & Sharon,WB,0,,0,0,1,Vernor
-83.1331221760016,42.3089649500029,11,7881,,42.3089649501216,-83.1331221764825,Vernor & Cabot,EB,0,,0,0,1,Vernor
-83.1328850060016,42.3091981150029,12,7882,,42.3091981147931,-83.1328850060527,Vernor & Lawndale,WB,0,,0,0,1,Vernor
-83.1312051540017,42.3097649360029,13,7883,,42.3097649363702,-83.1312051540394,Vernor & Wendell,EB,0,,0,0,1,Vernor
-83.1304029330016,42.3102071010028,14,7884,,42.3102071011244,-83.1304029326199,Vernor & Pearl,WB,0,,0,0,1,Vernor
-83.1287541430016,42.3107338830029,15,7885,,42.3107338827302,-83.128754143093,Vernor & Mullane,EB,0,,0,1,1,Vernor
-83.1278100060016,42.3112828850028,16,7886,VerCsn,42.3112828845979,-83.1278100064037,Vernor & Carson,WB,0,,0,0,1,Vernor
-83.1239281690016,42.3127221260028,17,7888,,42.3127221260731,-83.1239281690672,Vernor & Central,EB,0,,0,0,1,Vernor
-83.1245678480016,42.3126111230029,18,7889,,42.3126111231567,-83.1245678475185,Vernor & Central,WB,0,,0,1,1,Vernor
-83.1219390090016,42.3136789710029,19,7890,,42.313678971447,-83.1219390089149,Vernor & Stair,WB,0,,0,0,1,Vernor
-83.1209340420017,42.3139539060029,20,7891,,42.3139539064412,-83.1209340416119,Vernor & Green,EB,0,,0,0,1,Vernor
-83.1205878390016,42.3142368950029,21,7892,,42.3142368946542,-83.1205878391685,Vernor & Rieden,WB,0,,0,0,1,Vernor
-83.1177389390016,42.3152629840029,22,7893,,42.3152629843832,-83.1177389389746,Vernor & Beard,EB,0,,0,0,1,Vernor
-83.1172518750016,42.3156360750029,23,7895,,42.3156360750014,-83.1172518754293,Vernor & Dix,WB,0,,0,0,1,Vernor
-83.1112139860016,42.3154939380028,24,7896,,42.3154939381716,-83.1112139864246,Vernor & Infantry,EB,0,,0,0,1,Vernor
-83.1089778930016,42.3157158900028,25,7902,,42.3157158904324,-83.1089778928868,Vernor & Dragoon,WB,0,,0,0,1,Vernor
-83.1035608240016,42.3170210480029,26,7905,,42.3170210475139,-83.1035608238241,Vernor & Campbell,EB,0,,0,0,1,Vernor
-83.1041378730016,42.3169391010029,27,7906,,42.3169391012364,-83.1041378730109,Vernor & Campbell,WB,0,,0,0,1,Vernor
-83.1013829840016,42.3179230180029,28,7909,,42.3179230178936,-83.1013829835691,Vernor & Junction,EB,0,,0,0,1,Vernor
-83.1022000290016,42.3177320600028,29,7910,,42.3177320601677,-83.1022000285628,Vernor & Junction,WB,0,,0,0,1,Vernor
-83.0991698460016,42.3188300420029,30,7911,,42.318830041618,-83.0991698459757,Vernor & Ferdinand,EB,0,,0,0,1,Vernor
-83.0998490400016,42.3187270280028,31,7912,,42.318727028368,-83.0998490403835,Vernor & Ferdinand,WB,0,,0,0,1,Vernor
-83.0969470700016,42.3197349940029,32,7913,,42.3197349939113,-83.0969470703786,Vernor & McKinstry,EB,0,,0,0,1,Vernor
-83.0973398880016,42.3197308820028,33,7914,,42.3197308822788,-83.0973398884601,Vernor & McKinstry,WB,0,,0,0,1,Vernor
-83.0954509930016,42.3203450650028,34,7915,,42.3203450647572,-83.095450993193,Vernor & Clark,EB,0,,0,1,1,Vernor
-83.0961410230016,42.3202559170029,35,7916,,42.320255916985,-83.096141022972,Vernor & Clark,WB,0,,0,1,1,Vernor
-83.0936959730016,42.3210298780028,36,7917,,42.3210298779978,-83.093695972947,Vernor & Scotten,EB,0,,0,0,1,Vernor
-83.0943470970016,42.3209630830029,37,7918,,42.320963083157,-83.0943470971505,Vernor & Scotten,WB,0,,0,0,1,Vernor
-83.0914851120016,42.3219049450028,38,7919,,42.3219049445041,-83.0914851120441,Vernor & Hubbard,EB,0,,0,0,1,Vernor
-83.0922079470016,42.3217678870029,39,7920,,42.3217678872806,-83.0922079469825,Vernor & Hubbard,WB,0,,0,1,1,Vernor
-83.0861790980016,42.3239539950029,40,7925,,42.3239539951857,-83.0861790975104,Vernor & 24th,EB,0,,0,0,1,Vernor
-83.0868419130016,42.3238780440028,41,7926,,42.3238780438998,-83.0868419134723,Vernor & 24th,WB,0,,0,0,1,Vernor
-83.0821201430016,42.3253590890029,42,7929,,42.3253590886177,-83.0821201428897,21st & Vernor,SB,0,,0,0,1,Vernor
-83.0824830970016,42.3256401100028,43,7930,,42.3256401104727,-83.0824830973846,Vernor & 21st,WB,0,,0,0,1,Vernor
-83.0802630010016,42.3246848720028,44,7931,,42.3246848715094,-83.0802630012546,Bagley & 20th,EB,1,Third-Party,1,1,1,Vernor
-83.0777259290016,42.3254730920028,45,7932,,42.3254730922972,-83.0777259290686,Bagley & 18th,EB,0,,0,0,1,Vernor
-83.0775770750016,42.3256250890028,46,7933,,42.3256250891755,-83.0775770749412,Bagley & 18th,WB,0,,0,0,1,Vernor
-83.0723869900017,42.3270570490029,47,7937,,42.327057048655,-83.0723869896172,Bagley & Wabash,EB,0,,0,0,1,Vernor
-83.0729141480016,42.3270690990028,48,7938,,42.3270690990367,-83.0729141483205,Bagley & Wabash,WB,0,,0,0,1,Vernor
-83.0703740540016,42.3278510850029,49,7941,,42.3278510853541,-83.070374053714,Bagley & Rosa Parks,WB,0,,0,0,1,Vernor
-83.1576800600016,42.3106010240029,50,8337,MlrEgl,42.3106010243384,-83.1576800595595,Miller & Eagle,NB,0,,0,0,1,Vernor
-83.0897641580017,42.3227281250029,51,8774,VerWgb,42.3227281253966,-83.0897641575655,Vernor & W Grand Bl,WB,0,,0,1,1,Vernor
-83.0524249890016,42.3327690110028,52,8915,Rosa10,42.3327690107083,-83.0524249886336,Rosa Parks Transit Center - Bay 10,WB,0,,0,0,1,Vernor
-83.1378951400016,42.3070289890029,53,10092,,42.3070289890447,-83.1378951398316,Vernor @ 9200,EB,0,,0,0,1,Vernor
-83.1054299670016,42.3162588630028,54,10093,,42.3162588627262,-83.1054299667896,Vernor & Cavalry,EB,0,,0,0,1,Vernor
-83.0694428230016,42.3280081270028,55,10094,,42.3280081266065,-83.0694428228672,Bagley & Rosa Parks,EB,0,,0,0,1,Vernor
-83.0807179220016,42.3246658780029,56,10096,,42.3246658779829,-83.0807179218379,Bagley & 20th,WB,0,,0,0,1,Vernor
-83.1381431590016,42.3070700970029,57,10098,,42.3070700974489,-83.1381431590678,Vernor @ 9200 W,WB,0,,0,0,1,Vernor
-83.1603618850017,42.3137400710029,58,60023,,42.3137400712696,-83.1603618846607,Miller @ Ford Gate 6,SB,0,,0,0,1,Vernor
-83.1658659850016,42.3221419630028,59,60059,,42.3221419632743,-83.1658659847797,Miller & Oakman,NB,0,,0,0,1,Vernor
-83.1581641280016,42.3108460430029,60,60060,MlrEgl,42.3108460428722,-83.1581641284425,Miller & Eagle,SB,0,,0,0,1,Vernor
-83.1596869650016,42.3133621240029,61,60061,,42.3133621243273,-83.1596869652747,Miller @ Ford Gate 6,NB,0,,0,0,1,Vernor
-83.1665599150016,42.3226729360029,62,60062,,42.3226729355889,-83.1665599154315,Oakman & Miller,SB,0,,0,0,1,Vernor
-83.1060159620016,42.3161728900029,63,60082,,42.3161728898467,-83.1060159623753,Vernor & Cavalry,WB,0,,0,0,1,Vernor
-83.1940489980016,42.3162248790029,64,590,MicGfd,42.3162248789982,-83.1940489984006,Michigan & Greenfield,EB,1,Third-Party,0,1,2,Michigan
-83.1197268350016,42.3309771190029,65,591,MicLiv,42.3309771194606,-83.1197268354188,Michigan & Livernois,EB,0,,0,0,2,Michigan
-83.0946431330017,42.3312708870029,66,592,,42.3312708870547,-83.0946431326547,Michigan & W Grand Bl,EB,0,,0,0,2,Michigan
-83.0659720450016,42.3312960190028,67,593,,42.3312960190237,-83.0659720445605,Michigan & Trumbull,EB,0,,0,0,2,Michigan
-83.0674469700016,42.3315341190028,68,597,,42.3315341192783,-83.0674469702396,Michigan & Trumbull,WB,0,,0,0,2,Michigan
-83.0959190990016,42.3314759220028,69,598,,42.3314759221833,-83.0959190987922,Michigan & W Grand Bl,WB,0,,0,0,2,Michigan
-83.1210461650016,42.3312740110029,70,599,MicLiv,42.3312740110318,-83.1210461649742,Michigan & Livernois,WB,0,,0,0,2,Michigan
-83.0567570770016,42.3315530960029,71,1086,,42.3315530955179,-83.0567570766335,Michigan & Third,EB,0,,0,0,2,Michigan
-83.0580621280016,42.3317770070028,72,1087,,42.3317770067898,-83.0580621279683,Michigan & Third,WB,1,DDOT,0,1,2,Michigan
-83.1530788890016,42.3286690090029,73,1434,,42.3286690089667,-83.15307888876,Michigan & Western,EB,0,,0,0,2,Michigan
-83.1538279070016,42.3286849770029,74,1435,MicWei,42.3286849770582,-83.1538279065425,Michigan & Weir,WB,0,,0,0,2,Michigan
-83.1513310710016,42.3291950630029,75,1436,,42.3291950625689,-83.1513310714583,Michigan & Sharon,EB,0,,0,0,2,Michigan
-83.1509730330016,42.3295189080029,76,1437,,42.3295189076152,-83.1509730331288,Michigan & Addison,WB,0,,0,0,2,Michigan
-83.1491640200016,42.3296529220029,77,1438,,42.3296529216346,-83.1491640199285,Michigan & Cabot,EB,0,,0,0,2,Michigan
-83.1465200610016,42.3300600550028,78,1439,,42.3300600549928,-83.1465200613933,Michigan & Ogden,EB,0,,0,0,2,Michigan
